Time,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,1,2,3
Day 1 ,Genesis 1-10,Genesis 11-20,Genesis 21-30,Genesis 31-40,Genesis 41-50,Exodus 1-10,Exodus 11-20,Exodus 21-30,Exodus 31-40,Leviticus 1-10,Leviticus 11-20,Leviticus 21-27,Numbers 1-10,Numbers 11-20,Numbers 21-30,Numbers 31-36,Deuteronomy 1-10,Deuteronomy 11-20,Deuteronomy 21-30,Deuteronomy 31-34,Joshua 1-10,Joshua 11-20,Joshua 21-24,Judges 1-10,,,
Day 2 ,Judges 11-20,Ruth 1-4,1 Samuel 1-10,1 Samuel 11-20,1 Samuel 21-31,2 Samuel 1-10,2 Samuel 11-20,2 Samuel 21-24,1 Kings 1-10,1 Kings 11-20,1 Kings 21-22,2 Kings 1-10,2 Kings 11-20,2 Kings 21-25,1 Chronicles 1-10,1 Chronicles 11-20,1 Chronicles 21-29,2 Chronicles 1-10,2 Chronicles 11-20,2 Chronicles 21-30,2 Chronicles 31-36,Ezra 1-10,Nehemiah 1-10,Nehemiah 11-13,,,
Day 3,Esther 1-10,Job 1-10,Job 11-20,Job 21-30,Job 31-42,Psalms 1-10,Psalms 11-20,Psalms 21-30,Psalms 31-40,Psalms 41-50,Psalms 51-60,Psalms 61-70,Psalms 71-80,Psalms 81-90,Psalms 91-100,Psalms 101-110,Psalms 111-120,Psalms 121-130,Psalms 131-140,Psalms 141-150,Proverbs 1-10,Proverbs 11-20,Proverbs 21-30,Proverbs 31,,,
Day 4,Ecclesiastes 1-10,Ecclesiastes 11-12,Song of Solomon 1-8,Isaiah 1-10,Isaiah 11-20,Isaiah 21-30,Isaiah 31-40,Isaiah 41-50,Isaiah 51-60,Isaiah 61-66,Jeremiah 1-10,Jeremiah 11-20,Jeremiah 21-30,Jeremiah 31-40,Jeremiah 41-50,Jeremiah 51-52,Lamentations 1-5,Ezekiel 1-10,Ezekiel 11-20,Ezekiel 21-30,Ezekiel 31-40,Ezekiel 41-48,Daniel 1-10,Daniel 12,,,
Day 5 ,Hosea 1-10,"Hosea 11-14, Joel 1-3",Amos 1-10,"Obadiah 1, Jonah 1-4, Micah 1-5","Micah 6-7, Nahum 1-3, Habakkuk 1-3","Zephaniah 1-3, Haggai 1-2, Zechariah 1-5",Zechariah 6-15,"Zechariah 16-14, Malachi 1-4",Matthew 1-10,Matthew 11-20,"Matthew 21-28, Mark 1-2",Mark 3-12,"Mark 13-16, Luke 1-6",Luke 7-16,Luke 17-24,John 1-10,John 11-21,Acts 1-10,Acts 11-20,"Acts 21-28, Romans 1-2",Romans 3-12,"Romans 13-16, 1 Corinthians 1-6",1 Corinthians 7-16,2 Corinthians 1-10,,,
Day 6 ,"2 Corinthians 11-13, Galatians 1-7","Galatians 8, Ephesians 1-6, Philippians 1-3","Philippians 4, Colossians 1-4, 1 Thessalonians 1-5","2 Thessalonians 1-3, 1 Timothy 1-6, 2 Timothy 1","2 Timothy 2-4, Titus 1-3, Philemon 1, Hebrews 1-2",Hebrews 3-12,"Hebrews 13, James 1-5, 1 Peter 1-4","1 Peter 5, 2 Peter 1-3, 1 John 1-5","2 John 1, 3 John 1, Jude 1, Revelation 1-6",Revelation 7-16,"Revelation 17-22, Genesis 1-5",Genesis 6-15,Genesis 16-25,Genesis 26-35,Genesis 36-45,"Genesis 46-50, Exodus 1-5",Exodus 6-15,Exodus 16-25,Exodus 26-35,"Exodus 36-40, Leviticus 1-5",Leviticus 6-15,Leviticus 16-25,"Leviticus 26-27, Numbers 1-8",Numbers 9-18,,,
Day 7,Numbers 19 - 28,Numbers 29 - Deuteronomy 8,Deuteronomy 9 - 18,Deuteronomy 19 - 28,Deuteronomy 29 - 34,Joshua 1 - 10,Joshua 11 - 20,"Joshua 21 - 24, Judges 1",Judges 2 - 11,Judges 12 - 21,"Ruth 1 - 4, 1 Samuel 1",1 Samuel 2 - 12,1 Samuel 13 - 20,1 Samuel 21 - 31,2 Samuel 1 - 10,2 Samuel 11 - 20,2 Samuel 21 - 24,1 Kings 1 - 10,1 Kings 11 - 20,1 Kings 21 - 2 Kings 10,2 Kings 11 - 25,1 Chronicles 1 - 10,1 Chronicles 11 - 20,"1 Chronicles 21 - 29, 2 Chronicles 1",,,
